system_id,ln_B_LU,B_LU
MD_SDSS_l2_1692,-233548889396.90652,0.0
MD_SDSS_l2_1546,-593020460635.3514,0.0
MD_SDSS_l2_1469,-645434884056.03,0.0
MD_SDSS_l2_1184,-829913794435.6831,0.0
MD_SDSS_l2_3456,-977677301228.2859,0.0
MD_SDSS_l2_445,-980049733265.1106,0.0
MD_SDSS_l2_3375,-1102084233141.3684,0.0
MD_SDSS_l2_2011,-1556457946603.9592,0.0
MD_SDSS_l2_945,-1767562336712.2104,0.0
MD_SDSS_l2_4503,-1841064072221.1448,0.0
MD_SDSS_l2_4751,-2939464271824.7583,0.0
MD_SDSS_l2_4729,-3450846618666.7354,0.0
MD_SDSS_l2_1569,-5369418666691.278,0.0
MD_SDSS_l2_4578,-5987166874487.292,0.0
MD_SDSS_l2_2155,-6779858047453.27,0.0
MD_SDSS_l2_360,-6936133922949.8,0.0
MD_SDSS_l2_2009,-7188967694371.776,0.0
MD_SDSS_l2_2510,-7514706745376.439,0.0
MD_SDSS_l2_1567,-8089073070241.36,0.0
MD_SDSS_l2_221,-8754795921953.178,0.0
MD_SDSS_l2_4818,-9736440876291.127,0.0
MD_SDSS_l2_442,-9932884796453.82,0.0
MD_SDSS_l2_1748,-11353143733399.408,0.0
MD_SDSS_l2_364,-12551699764243.77,0.0
MD_SDSS_l2_1772,-12646884968560.691,0.0
MD_SDSS_l2_4935,-16771540142767.812,0.0
MD_SDSS_l2_36,-16929994417491.58,0.0
MD_SDSS_l2_3099,-18397348355444.668,0.0
MD_SDSS_l2_3256,-18603067979599.227,0.0
MD_SDSS_l2_4279,-19364403161459.797,0.0
MD_SDSS_l2_2442,-19391217518010.254,0.0
MD_SDSS_l2_3990,-19554284070423.953,0.0
MD_SDSS_l2_4282,-20382857603986.97,0.0
MD_SDSS_l2_1473,-20788950407563.207,0.0
MD_SDSS_l2_3986,-21145250065655.688,0.0
MD_SDSS_l2_4745,-21816483998113.004,0.0
MD_SDSS_l2_3380,-23728375042307.324,0.0
MD_SDSS_l2_2081,-24085011689215.367,0.0
MD_SDSS_l2_2410,-25330601552275.445,0.0
MD_SDSS_l2_857,-27126378842636.316,0.0
MD_SDSS_l2_3353,-29789811916159.797,0.0
MD_SDSS_l2_1615,-29887217342743.402,0.0
MD_SDSS_l2_4391,-30486721994400.44,0.0
MD_SDSS_l2_1491,-31587291197411.38,0.0
MD_SDSS_l2_4486,-32991029072080.77,0.0
MD_SDSS_l2_332,-36029062624561.875,0.0
MD_SDSS_l2_4934,-38113424191916.88,0.0
MD_SDSS_l2_1855,-38278784579811.46,0.0
MD_SDSS_l2_1004,-42926273094702.9,0.0
MD_SDSS_l2_799,-44239246604074.78,0.0
MD_SDSS_l2_4722,-45558780884631.24,0.0
MD_SDSS_l2_2386,-45932338005876.27,0.0
MD_SDSS_l2_1467,-46723297630023.28,0.0
MD_SDSS_l2_2150,-47384682595977.55,0.0
MD_SDSS_l2_1897,-48766410477842.91,0.0
MD_SDSS_l2_3204,-49099054644536.82,0.0
MD_SDSS_l2_4756,-52808406798982.11,0.0
MD_SDSS_l2_2841,-62411801311289.63,0.0
MD_SDSS_l2_3947,-64239684511955.93,0.0
MD_SDSS_l2_2769,-65957116925375.664,0.0
MD_SDSS_l2_1325,-66981526608705.85,0.0
MD_SDSS_l2_2621,-70502703589389.23,0.0
MD_SDSS_l2_4243,-72801582953260.48,0.0
